#,itemid,comment,rating,feedback_date_time
1,ITEM1,Comment1,5,2022-08-01 00:38:42.000
2,ITEM1,Comment2,5,2022-08-02 00:38:42.000
3,ITEM1,Comment3,5,2022-08-03 00:38:42.000
4,ITEM1,Comment4,5,2022-08-04 00:38:42.000
5,ITEM1,Comment5,5,2022-08-05 00:38:42.000
6,ITEM1,Comment6,5,2022-08-06 00:38:42.000
7,ITEM1,Comment7,5,2022-08-07 00:38:42.000
8,ITEM1,Comment8,5,2022-08-08 00:38:42.000
9,ITEM1,Comment9,5,2022-08-09 00:38:42.000
10,ITEM1,Comment10,5,2022-08-10 00:38:42.000
11,ITEM2,Comment11,5,2022-08-11 00:38:42.000
12,ITEM2,Comment12,5,2022-08-12 00:38:42.000
13,ITEM2,Comment13,5,2022-08-13 00:38:42.000
14,ITEM2,Comment14,5,2022-08-14 00:38:42.000
15,ITEM2,Comment15,5,2022-08-15 00:38:42.000
16,ITEM2,Comment16,5,2022-08-16 00:38:42.000
17,ITEM2,Comment17,5,2022-08-17 00:38:42.000
18,ITEM2,Comment18,5,2022-08-18 00:38:42.000
19,ITEM2,Comment19,5,2022-08-19 00:38:42.000
20,ITEM2,Comment20,5,2022-08-20 00:38:42.000
21,ITEM2,Comment21,4,2022-08-21 00:38:42.000
22,ITEM3,Comment22,1,2022-09-29 00:41:27.000
23,ITEM3,Comment23,5,2022-08-22 00:38:42.000
24,ITEM3,Comment24,5,2022-08-23 00:38:42.000
25,ITEM3,Comment25,5,2022-08-24 00:38:42.000
26,ITEM3,Comment26,5,2022-08-25 00:38:42.000
27,ITEM1001,,3,2022-08-02 00:48:42.000
28,ITEM1002,,2,2022-08-05 00:48:42.000
29,ITEM1003,,3,2022-08-15 00:48:42.000
30,ITEM1004,,2,2022-08-17 00:48:42.000
31,ITEM1005,,3,2022-08-18 00:48:42.000
32,ITEM1006,,2,2022-08-19 00:48:42.000
33,ITEM1007,,5,2022-08-20 00:48:42.000
34,ITEM1008,,2,2022-07-10 00:48:42.000
35,ITEM1009,,3,2022-07-10 00:48:42.000
36,ITEM2001,Brilliant,4,2022-06-15 23:21:23.000
37,ITEM2001,Brilliant,4,2022-07-15 23:21:23.000
38,ITEM2001,Brilliant,4,2022-07-15 23:21:23.000
